question_by,question,answer_by,answer,ticker_cd,Org Name
Darshil Jhaveri — Crown Capital — Analyst,"Hello. Good afternoon, sir, and thank you so much for taking my question. Firstly, sir, congratulations on a great set of results. Sir, with respect to our margins, now you finally consistent double-digit margin, so what kind of further leverage that we can see? Because we have a good adding of premium brands. So what would be our take in terms of our margins? Like we said you want to do it better, but some kind of a range that our target is maybe over the next two, three years?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Also in power brands, we will need to achieve double-digit EBITDA soon, and we are working very hard to that, and we have internal goals to reach that quickly. So those are the guidance that every year, we need to take the EBITDA at least 1.5% to 2% in that zone, I think more like 1.5% growth, and that will lead to the level that we’ll be happy with in next one to two years.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Okay, sir. Thank you so much for the detailed answer. So sir, with respect to, I think we’ve mentioned we might see some softening of demand. So would that — how are we seeing now two months in the year. So what is the consumer sentiment that we could see that what are we expecting? Is the demand issue that is why we are maybe focusing on 12% to 15% growth, because we’ve been growing at a very substantial rate. Could you just help me understand how the environment is currently?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"See, I would say the current market conditions are soft. And I would say despite the market condition, given the strength of our brand and our confidence in our ability to execute strongly, we are likely to deliver fairly competitive growth going forward. And as the market sort of improves which, likely to be from festival time, the growth rate still likely to go up further. So we will stay focused on our growth drivers, like I said, store expansion, building online marketplace, improving like-to-like growth in our store, growing adjacent category like footwear and kidswear, etc. So we will continue to fire on all of cylinders. We want to build these brands to mega brands and we will continue to focus on growing these businesses.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Okay, sir. That’s helpful. And if I may, sir, one more question. I just wanted to understand about our tax rate. So will we — because of our prior losses will that help in our taxation or how would that just happen?",Girdhar Kumar Chitlangia — Chief Financial Officer,"This is Girdhar here, Girdhar Chitlangia. Yes, you’re right. There’s still — our accumulated losses will help us in our taxes in the future.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"So going forward, what would be the effective tax rate? Because I think this year, we’ve still shown as 30%, so…",Girdhar Kumar Chitlangia — Chief Financial Officer,"So there are two things there. One is the tax regime and other it’s ultimately, we pay our tax. Two different questions here. So we are currently in the current tax regime only. And in the future, I mean, we keep evaluating. As and when we get an opportunity to move to a new regime, we will. Of course, we have the option of continuously utilizing our cost.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Okay, sir. So like if I can understand that we’re not paying out cash profit, it is just a book entry currently, if I could — that could make sense?",Girdhar Kumar Chitlangia — Chief Financial Officer,Yes.,ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sir, my first question is regarding the working capital. I think excellent work on the inventory days and collection fee. Just wanted to understand, have you changed accounting with the franchisee owners or wholesalers to reduce the inventory or status quo on that front?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"See, over a — there’s nothing dramatically done in last one quarter, but over the last two, three years, we’ve been gradually changing the model to maximize ROCE and capital conversion. So we used to do a lot more outright billing in the past. But now we have moved — like the industry has also moved, to a consignment model. It’s been done gradually. It’s not like a one-off in quarter four. And we believe that’s the right model because the cash collection is faster there, our ability to manage the assortment of merchandise and drive the full price store in a more scientific automatic — automated way is better. So we like in this we’ve also made some changes, but they have been very gradual on this.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sir, so in this, the inventory is on our books or on the franchisee books? And — or do we accounting and practical could be two different things, right? So if you can explain the buy-and-sell model historically and now consignment model, how is it different on paper and actually?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes. So in the past, then the outright model, the inventory gets transferred at the time of billing to the franchisees. And then that franchise is supposed to pay back to us as per the terms we have with the party. Now after that, the whole experience and the whole scientific rigor of ensuring very healthy sell-through as franchisee. All the tools are get transferred also the franchisee, we don’t even have visibility of level detailing. The industry, and we have moved to a consignment model where the goods — the title remains with us, with the company. And based on the sale, every day the sale gets elected, it’s transferred back to us. And at a pre-decided margin commission, we pay them on a monthly basis, the commission.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,So the inventory which is reduced is sitting on our books and despite that the inventory days have come down. Is that the right way to look at it?,Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"That’s the right — also, what happens is that you’re right that with all this back-end being a little more scientifically handled, automated replenishment, the throughput of the inventory gets in our way, and it’s a scientific knowledge and now machines are doing it. So we need the whole inventory pool to be guided by the machine learning. Second part is that when the inventory is with us, it also gives the opportunity for us to do the omni business because we have a clear visibility of omni, then it gets sort of through, our own omni method gets exposed to the consumers online.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,So the inventory which is reduced is sitting on our books and despite that the inventory days have come down. Is that the right way to look at it?,Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"And then we push the full price sell-through to the omni conversion also. And in our stores, A lot of our stores, the omni contribution is in high single-digits. So that’s a further push into full-price business. So you’re right in a way that despite the inventory being on our books, we are seeing much faster turns in our business. And like we mentioned, the stock turn have crossed four now.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"And sir, because of that from a revenue recognition perspective, now we are looking at full revenue and the expenses the franchisee commission comes as expenses because of this accounting. So that way, over three years, if the transition has happened over the last two, three years, the revenue has bumped up by that percentage of the franchisee commission?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes, gross margin and the revenues do get slightly increased. But — and also the franchisee commission will come below the GP as an other expenses and profitability comes. So percentage EBITDA comes down in this model because the revenue recognition is at the MRP-ish level. whereas the margins are after reducing the expenses. But — so while the denominator goes up, but overall, we see in a medium-term, the — our ability to sell full price and lower discounting goes up. So that’s why overall EBITDA goes up. So basically, this is a model which is optimizing return on capital employed. So ROCE is North Star and this method gives us opportunity to do faster stock turn and improve ROCE.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sure. Sir, in channel-wise, can you just help us with channel-wise margins on a ballpark basis, what they would be? And how are we looking at the mix here online MBO and retail business now?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes. So let me first give you a sense of — see, we are fortunate. We have multiple very well-developed channels, be retail, department store, trade, online. And within online, we have both wholesale as well as our own marketplace. So at an annualized level, our retail contribution now is around 43%, which has gone up by 4% in last year.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sure. Sir, in channel-wise, can you just help us with channel-wise margins on a ballpark basis, what they would be? And how are we looking at the mix here online MBO and retail business now?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Department store is at that 12% to 13%. That also — because the department store took some more time to recover. So this year, we’ll see further continuing growth in department store percentage, and they are now at around 13%. Trade tends to be on an average at 15%, we are at around 17%. But between department store and trade that we get around 30%. Then we have a healthy online, we are the leader in the online space where our contribution has been between 20% to 25%. And then we have small other channels like export or liquidation, which is like 4% to 5% of the business.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sure. Sir, in channel-wise, can you just help us with channel-wise margins on a ballpark basis, what they would be? And how are we looking at the mix here online MBO and retail business now?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So this is the whole sort of a channel mix and our entire effort is to drive channels, which give us better opportunity to give experience so be it the retail channel, be it the online marketplace model. We prefer where we have a larger say on things like consumer experience, product assortment, discounting and fastest time. So that’s where our philosophy on the channel is currently.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"So from a margin perspective, then retail would give you the full control end-to-end. So is it fair to assume that the retail is the highest margin, while trade would be the least. But actually, I believe trade is the less margin, right, where you still don’t have control. So if you can just help us.",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"See, every channel has its own dynamics on margin and expenses. So it will not be fair to answer that question. But our priority is to focus on experience right now.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"And on online own website versus third-party marketplace and a lot of there, we are seeing companies shifting to omni and not outright. How is that movement in online happening? And how does that impact margins?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"But that’s a major strategy for us to divert the online demand for our exciting brands to marketplace model. And in this quarter, our marketplace business grew by 75%. What happens is that in marketplace the whole assortment of inventory, we do it very scientifically. We create a lot of exclusive and very strong linkages with our stores on omni side. So overall, we are building this marketplace model very strongly, and we’re putting a lot of resources and energy behind that.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,So today it would be 50%?,Kulin Lalbhai — Vice Chairman and Non-Executive Director,"Ending this model a bit very simplistically. In the older buy-and-sell model in online, you would sell actual inventory to the partners. And then the control of how they sell it at what price they sell it, it’s with them. And it also meant that your inventory then is in different places with different partners. In a marketplace model, the inventory all is with us, in our warehouses and our stores. And because the inventory is centralized and all the demand comes to one centralized pool of inventory, we not only control the pricing in the presentation, but the same inventory pool is catering to all the demand.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,So today it would be 50%?,Kulin Lalbhai — Vice Chairman and Non-Executive Director,"So it is a much more efficient way to even get inventory sell-throughs to happen. So I think the pivot towards marketplace is a very strategic one. It means our company has to also obviously developed capabilities around not only fulfilling the orders, along with the — I mean, from our stores and warehouses, but also maintaining the listing, creating demand. These are all now very scientific new age capabilities, and that has — those capabilities have been built by the company over the last two years. So we are pivoting even our online business from a buy and sell to more of a marketplace model, where we take full control. So that is the strategic significance of the shift we are making.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Sure. If I can ask one last question? This quarter, there is some discontinued operations around INR1 crore loss. Any brand talking of getting the license go, is it to do with those businesses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So Ankit, just to clarify, we had our old inventory for the discontinued operations, which is what we had done over the last two years. We have completely cleaned that in this quarter. And it’s just a minor loss, which is coming on account of that and there is nothing else apart from that.",ARVINDFASN,ARVIND FASHIONS LTD 
Ankit Kedia — PhillipCapital — Analyst,"Understood. Thank you so much, and all the best.",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,Thank you.,ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"Yes. Hello sir, congratulations for the growth and the balance sheet inventory turns. I’m still unable to understand what is the pre-Ind AS bridge of — or pre-Ind AS margin that we would have at this scale of business vis-a-vis the scale of business that we had recovered. If you could give those two numbers, it would be very helpful to understand your margin movements?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"See, the post-Ind AS result that we declared, typically, the pre-Ind AS numbers are — there’s a gap of — the difference of around 4%. And you can calculate that yourself. And if I look at the last two years our EBITDA growth, we have done really well. I mean we’ve doubled in the last financial year itself. And in terms of our ROCE, debt level, EBITDA level, we’ve been probably at the healthiest we have seen. From pre-COVID to now, we have seen major changes.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"Yes. Hello sir, congratulations for the growth and the balance sheet inventory turns. I’m still unable to understand what is the pre-Ind AS bridge of — or pre-Ind AS margin that we would have at this scale of business vis-a-vis the scale of business that we had recovered. If you could give those two numbers, it would be very helpful to understand your margin movements?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"We have driven some of those changes ourselves in terms of change of model from outright to a consignment model. And a lot of those things have been now. And if you look at last two, three years, we’ve been really focused on increasing our EBITDA. Last year itself, our EBITDA has gone up by 330 basis points. So we are on a healthy trajectory, and we expect that our drivers of margin improvement will continue to go forward. Yes, in that sense, we’re ahead of the pre-COVID EBITDA, when you look at our company results overall on our debt level on inventory levels, level, EBITDA level, we are moving forward.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"So if your pre-Ind AS margin of 6%, you reported is 10% minus 4%, 6%, for a scale of business of INR4,500 crores, we have competing players who have a fairly higher pre-Ind AS margin. So what all steps are still needed? Or if you could tell us the bridge, why are the margins still single-digit?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"See, our EBITDA for the full year is 12.1%. If — you can calculate the pre-Ind AS number, and we’ve really moved forward. Yes, there may be some players who have a higher EBITDA margins than us, and we will continue to improve further. A couple of dynamics, it could be in terms of royalty payments, it could also be a need for us to turn around Arrow in profitability further, to scale up Flying Machine further. So there are a lot of levers and job for us to do, friend. We focus on that, and we are very confident and working hard towards improving our EBITDA further every year.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"What is the drag which comes from Arrow and Flying Machine and the emerging businesses in your EBITDA, if you could give us that it would be very helpful for us to understand what is the EBITDA margin on the residual business?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So let’s see Arrow as a brand. COVID was really tough for the formal brands and that business and very largely retail-driven business went into losses. And what we have done now is that by making a lot of changes to Arrow, which we have spoken a lot in our past investor calls, we’ve turned around this brand. And this FY ’23 end, it is now low single-digits. It used to be loss making earlier, there’s a large swing in Arrow. So Arrow is at a low single-digit. Many of our brands are at a pre-Ind AS double-digit EBITDA already. You look at our power brand portfolio EBITDA in quarter four itself, you see is at 13.1% post Ind AS. So you can calculate where it is.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"What is the drag which comes from Arrow and Flying Machine and the emerging businesses in your EBITDA, if you could give us that it would be very helpful for us to understand what is the EBITDA margin on the residual business?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"And Tommy Hilfiger, Calvin Klein, U.S. Polo, footwear, I mean, overall, U.S. Polo is all in double-digit EBITDA already. The brand like Arrow, we have turned around, we are happy about it, but there is a journey ahead to improve it scale further and improve its profitability further.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"Okay. And the emerging brand, what is a drag now from the emerging brand to our EBITDA?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So if you really see the full year, the emerging brand EBITDA has gone up from 2% earlier to this year is around 5.9%. The emerging brands have improved, and that’s largely coming from Calvin Klein. The other brands that group are Sephora, where the EBITDA margins have remained stable. And discontinued brands like Ed Hardy, IZOD and Aeropostale, where we have a INR5 crore to INR7 crore royalty hit for next one to two years, and that’s the drag that we have currently.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"So basically, when you report 6% in your PPT in emerging brands, minus 4%, so basically emerging brand is at about 2% pre-Ind AS margin. And in power brands, if you say your pre-Ind AS double-digit, is it right that you are pre-Ind AS double-digit margin in U.S. Polo and Tommy and you’re losing some money in, let’s say, Flying Machine and Arrow. Is that the interpretation?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"I would say the interpretation is that Tommy, Calvin Klein, U.S. Polo or double-digit pre-Ind AS. Arrow and Flying Machine are at a stage where there are low profitability. And we believe scale once we improve the scale of these brands, they will also become higher profitable.",ARVINDFASN,ARVIND FASHIONS LTD 
Pritesh Chheda — Lucky Investment Managers — Analyst,"Okay, sir. Thank you very much.",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,Thank you.,ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes. So let’s see, let’s start with GP to EBITDA and other expenses, we’ll cover in that. So first point is that we are getting a healthy scale leverage already. In the full year, we’ve seen more than 2%, 200 basis point improvement in EBITDA coming from scale leverage in FY ’23. Even in the quarter four, we’ve seen out of our growth in EBITDA of 1.9%, 190 basis points, 0.5% improvement in EBITDA out of that has come from scale leverage. So scale average is kicking in and it will continue to grow. That’s the one sort of statement of fact.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Now if you look at our GP for quarter four, our GP has gone up by 7%. Now out of that, 2% is because of a technical model change in Tommy Hilfiger where we went from on outright to consignment. And that happened early April, and this is the last quarter where from year-to-year comparison, you will see that change in other expenses because almost INR25 crores of that expense has come as higher GP and then it’s coming as higher operating expense also.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So 2% out of that 7% is one-off technical. I mean, we changed this in April, and now it will continue and in comparison from last year will not come from the quarter one. So that’s one technical reason that 7% actually is a 5% GP growth, which is, in a way, as per target healthy growth. Now if you look at 5% GP increase. Out of that, close to 2% has flown into EBITDA. Now the balance 3%, what has happened is that as the sale is increasing, and we have grown like really at a healthy pace of 45%, then other expenses are also growing because a lot of franchisee commissions, royalty, supply chain costs like warehousing and freight, etc., have come below that.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"So out of that 3%, 2% is going as variable. A lot of it is basically commissioned 1%, 0.5% is select. So out of the 3%, 2% comes as variable. We have scale leverage coming in from lower land cost, which is around 0.5%. And we had, in this quarter, slightly lower other income than in the past. And because of that, there was an EBITDA drop of EBITDA. So out of that 5%, 3% is flowing in, then there are some expenses and then there is a scale average of 0.5%, which actually leads to 1.9% EBITDA.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Now coming specifically to other expenses, I will just give you a little more color on the other expenses of quarter four versus quarter three, but one reason clearly is because of the sales increase, and there’s a one-off technical reason of Tommy Hilfiger around INR25 crores moving from — when we moved from outright to consign one model early this year. Girdhar, our CFO, will explain a little more about the other expenses.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Girdhar Kumar Chitlangia — Chief Financial Officer,"So if you see quarter-on-quarter, the other expenses have gone up largely because our department store sales have gone up, in which significantly refunding higher increase in commission expenses. Also in Q4, last year, we were a little subdued on our expenses, and most of our expenses are now back to normal levels. So that has also impacted slightly our expenses.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"But just wanted some more granularity in the sense that quarter-on-quarter, last four quarters, we see this number from INR300 crores is now at INR400 crores-odd. And when I look at some other companies like Aditya Birla, their percentage of other expenses to sales is not as high as ours, so just wanted some fundamental understanding of what is driving this increase in other expenses?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Because last January was COVID, so most of the retail everything was shut, right? So the retail also was lower on that basis. But now this year, we have grown on January because of COVID not there, but then our other expense has also grown in proportion to the sales.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"Okay. So sir, just coming back to this. So when we guide for about 12% to 15-odd percent top line growth, so is it a fair understanding that we should build in 10% to 12% growth in your other expenses component as well?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes. So in the channel where the commission comes in. So for example, a lot of our mono brand store is retail and marketplace also has a commission. So in terms — in line with the sales, but a slightly lower percentage of that will come as other expense.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"Okay. So sir, just coming back to this. So when we guide for about 12% to 15-odd percent top line growth, so is it a fair understanding that we should build in 10% to 12% growth in your other expenses component as well?",Girdhar Kumar Chitlangia — Chief Financial Officer,"Not all our expenses are fixed in nature, but we’ll surely get some leverage on this account.",ARVINDFASN,ARVIND FASHIONS LTD 
Shreyansh Jain — Swan Investments — Analyst,"No. But higher the channel sales than higher the commission and brokerage, right?",Girdhar Kumar Chitlangia — Chief Financial Officer,"Yes. Understand. So that is, of course, variable. But what I’m saying is of all the other expenses, not everything is fixed or variable in nature. There are solid fixed expenses, which we will surely get leverage off.",ARVINDFASN,ARVIND FASHIONS LTD 
